,time,zerocol,pupil_high_low
3598,2.108,0,1
3599,2.112,0,1
3600,2.116,0,1
3601,2.12,0,1
3602,2.124,0,1
3603,2.128,0,1
3604,2.132,0,1
3605,2.136,0,1
3606,2.14,0,1
3607,2.144,0,1
3608,2.148,0,1
3609,2.152,0,1
3610,2.156,0,1
3611,2.16,0,1
3612,2.164,0,1
3613,2.168,0,1
3614,2.172,0,1
3615,2.176,0,1
3616,2.18,0,1
3617,2.184,0,1
3618,2.188,0,1
3619,2.192,0,1
3620,2.196,0,1
3621,2.2,0,1
3622,2.204,0,1
3623,2.208,0,1
3624,2.212,0,1
3625,2.216,0,1
3626,2.22,0,1
3627,2.224,0,1
3628,2.228,0,1
3629,2.232,0,1
3630,2.236,0,1
3631,2.24,0,1
3632,2.244,0,1
3633,2.248,0,1
3634,2.252,0,1
3635,2.256,0,1
3636,2.26,0,1
3637,2.264,0,1
3638,2.268,0,1
3639,2.272,0,1
3640,2.276,0,1
3641,2.28,0,1
3642,2.284,0,1
3643,2.288,0,1
3644,2.292,0,1
3645,2.296,0,1
3646,2.3,0,1
3647,2.304,0,1
3648,2.308,0,1
3649,2.312,0,1
3650,2.316,0,1
3651,2.32,0,1
3652,2.324,0,1
3653,2.328,0,1
3654,2.332,0,1
3655,2.336,0,1
3656,2.34,0,1
3657,2.344,0,1
3658,2.348,0,1
3659,2.352,0,1
3660,2.356,0,1
3661,2.36,0,1
3662,2.364,0,1
3663,2.368,0,1
3664,2.372,0,1
3665,2.376,0,1
3666,2.38,0,1
3667,2.384,0,1
3668,2.388,0,1
3669,2.392,0,1
3670,2.396,0,1
3671,2.4,0,1
3672,2.404,0,1
3673,2.408,0,1
3674,2.412,0,1
3675,2.416,0,1
3676,2.42,0,1
3677,2.424,0,1
3678,2.428,0,1
3679,2.432,0,1
3680,2.436,0,1
3681,2.44,0,1
3682,2.444,0,1
3683,2.448,0,1
3684,2.452,0,1
3685,2.456,0,1
3686,2.46,0,1
3687,2.464,0,1
3688,2.468,0,1
3689,2.472,0,1
3690,2.476,0,1
3691,2.48,0,1
3692,2.484,0,1
3693,2.488,0,1
3694,2.492,0,1
3695,2.496,0,1
3696,2.5,0,1
3697,2.504,0,1
3698,2.508,0,1
3699,2.512,0,1
3700,2.516,0,1
3701,2.52,0,1
3702,2.524,0,1
3703,2.528,0,1
3704,2.532,0,1
3705,2.536,0,1
3706,2.54,0,1
3707,2.544,0,1
3708,2.548,0,1
3709,2.552,0,1
3710,2.556,0,1
3711,2.56,0,1
3712,2.564,0,1
3713,2.568,0,1
3714,2.572,0,1
3715,2.576,0,1
3716,2.58,0,1
3717,2.584,0,1
3718,2.588,0,1
3719,2.592,0,1
3720,2.596,0,1
3721,2.6,0,1
3722,2.604,0,1
3723,2.608,0,1
3724,2.612,0,1
3725,2.616,0,1
3726,2.62,0,1
